full_name,league,season,Current Club,minutes_played_overall,appearances_overall,goals_overall,assists_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,yellow_cards_overall,red_cards_overall,min_per_card_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,end,has_penalty
Lionel Messi,WC Qualification South America,2025/2025,Argentina,957,12,8,3,1.03,0.28,0.75,0,0,0,5,3,1,5,2025,False
Lionel Messi,CONCACAF Champions League,2025/2025,Inter Miami,556,7,5,1,0.97,0.16,0.81,0,0,0,3,2,1,5,2025,True
Lionel Messi,Leagues Cup,2025/2025,Inter Miami,281,4,2,2,1.28,0.64,0.64,1,0,281,2,3,1,2,2025,True
Lionel Messi,International Friendlies,2025/2025,Argentina,90,1,0,2,2.0,2.0,0.0,0,0,0,5,5,1,1,2025,False
Lionel Messi,MLS,2025/2025,Inter Miami,2509,29,31,16,1.69,0.57,1.11,2,0,1255,3,3,1,5,2025,True
Lionel Messi,Club Friendlies 1,2025/2025,Inter Miami,367,5,2,2,0.98,0.49,0.49,0,0,0,2,4,1,3,2025,False
Lionel Messi,FIFA Club World Cup,2025/2025,Inter Miami,360,4,1,0,0.25,0.0,0.25,1,0,360,1,1,1,2,2025,False
Lionel Messi,Club Friendlies 1,2024/2024,Inter Miami,249,5,1,1,0.72,0.36,0.36,0,0,0,5,5,1,2,2024,True
Lionel Messi,MLS,2024/2024,Inter Miami,1755,22,21,11,1.64,0.56,1.08,2,0,878,5,4,1,5,2024,True
Lionel Messi,Copa America,2024/2024,Argentina,426,5,1,1,0.42,0.21,0.21,0,0,0,1,2,1,2,2024,False
Lionel Messi,International Friendlies,2024/2024,Argentina,124,2,2,1,2.18,0.73,1.45,0,0,0,5,5,1,3,2024,False
Lionel Messi,CONCACAF Champions League,2024/2024,Inter Miami,230,3,2,2,1.57,0.78,0.78,0,0,0,5,5,1,5,2024,False
Lionel Messi,International Friendlies,2023/2023,Argentina,270,3,5,1,2.0,0.33,1.67,0,0,0,5,5,1,5,2023,False
Lionel Messi,Trophee des Champions - Super Cup,2022/2023,PSG,90,1,1,0,1.0,0.0,1.0,0,0,0,5,5,1,2,2023,False
Lionel Messi,US Open Cup,2023/2023,Inter Miami,90,1,0,2,2.0,2.0,0.0,0,0,0,5,5,1,1,2023,False
Lionel Messi,UEFA Champions League,2022/2023,PSG,615,7,4,4,1.17,0.59,0.59,0,0,0,1,3,1,3,2023,False
Lionel Messi,Leagues Cup,2023/2023,Inter Miami,564,7,10,1,1.76,0.16,1.6,1,0,564,5,1,1,5,2023,False
Lionel Messi,MLS,2023/2023,Inter Miami,372,6,1,2,0.73,0.48,0.24,0,0,0,1,3,1,1,2023,False
Lionel Messi,Ligue 1,2022/2023,PSG,2842,32,16,16,1.01,0.51,0.51,0,0,0,1,4,1,3,2023,False
Lionel Messi,Coupe de France,2022/2023,PSG,90,1,0,0,0.0,0.0,0.0,0,0,0,5,5,1,1,2023,False
Lionel Messi,World Cup,2022/2022,Argentina,630,7,7,3,1.43,0.43,1.0,1,0,630,3,3,1,5,2022,True
Lionel Messi,Club Friendlies 1,2022/2022,PSG,167,3,0,0,0.0,0.0,0.0,0,0,0,5,5,1,1,2022,False
Lionel Messi,CONMEBOL UEFA Cup of Champions,2022/2022,Argentina,90,1,0,2,2.0,2.0,0.0,0,0,0,5,5,1,1,2022,False
Lionel Messi,UEFA Champions League,2021/2022,PSG,630,7,5,0,0.71,0.0,0.71,1,0,630,2,1,1,3,2022,True
Lionel Messi,WC Qualification South America,2022/2022,Argentina,1274,15,7,0,0.49,0.0,0.49,0,0,0,2,1,1,3,2022,True
Lionel Messi,Ligue 1,2021/2022,PSG,2153,26,6,14,0.84,0.59,0.25,0,0,0,1,4,1,2,2022,False
Lionel Messi,International Friendlies,2022/2022,Argentina,304,4,10,1,3.26,0.3,2.96,0,0,0,5,2,1,5,2022,True
Lionel Messi,Coupe de France,2021/2022,PSG,90,1,0,0,0.0,0.0,0.0,0,0,0,5,5,1,1,2022,False
Lionel Messi,Copa America,2021/2021,Argentina,630,7,4,5,1.29,0.71,0.57,0,0,0,3,5,1,5,2021,True
Lionel Messi,Supercopa de Espana,2020/2021,FC Barcelona,120,1,0,0,0.0,0.0,0.0,1,1,60,5,5,1,1,2021,False
Lionel Messi,Copa del Rey,2020/2021,FC Barcelona,450,5,3,1,0.8,0.2,0.6,2,0,225,2,2,1,3,2021,False
Lionel Messi,La Liga,2020/2021,FC Barcelona,3022,35,30,9,1.16,0.27,0.89,4,0,756,5,2,1,5,2021,True
Lionel Messi,UEFA Champions League,2020/2021,FC Barcelona,540,6,5,2,1.17,0.33,0.83,0,0,0,2,2,1,5,2021,True
Lionel Messi,La Liga,2019/2020,FC Barcelona,2880,33,25,21,1.44,0.66,0.78,4,0,720,3,5,1,5,2020,True
Lionel Messi,Copa del Rey,2019/2020,FC Barcelona,180,2,2,1,1.5,0.5,1.0,1,0,180,5,5,1,3,2020,False
Lionel Messi,UEFA Super Cup,2019/2020,FC Barcelona,90,1,2,1,3.0,1.0,2.0,0,0,0,5,5,1,5,2020,False
Lionel Messi,UEFA Champions League,2019/2020,FC Barcelona,661,8,3,3,0.82,0.41,0.41,2,0,331,1,2,1,3,2020,False
Lionel Messi,Supercopa de Espana,2019/2020,FC Barcelona,90,1,1,0,1.0,0.0,1.0,0,0,0,5,5,1,3,2020,False
Lionel Messi,Copa America,2019/2019,Argentina,487,6,1,1,0.37,0.18,0.18,1,1,244,1,2,1,1,2019,True
Lionel Messi,UEFA Champions League,2018/2019,FC Barcelona,837,10,12,3,1.61,0.32,1.29,0,0,0,5,2,1,5,2019,True
Lionel Messi,La Liga,2018/2019,FC Barcelona,2709,34,36,13,1.63,0.43,1.2,3,0,903,5,3,1,5,2019,True
Lionel Messi,Copa del Rey,2018/2019,FC Barcelona,387,5,3,2,1.16,0.47,0.7,0,0,0,2,3,1,3,2019,False
Lionel Messi,International Friendlies,2019/2019,Argentina,316,4,4,1,1.42,0.28,1.14,0,0,0,3,2,1,3,2019,True
Lionel Messi,Supercopa de Espana,2018/2019,FC Barcelona,90,1,0,1,1.0,1.0,0.0,0,0,0,5,5,1,1,2019,False
Lionel Messi,FIFA World Cup 2018 Russia,2018/2018,Argentina,360,4,1,2,0.75,0.5,0.25,1,0,360,1,4,1,1,2018,True
Lionel Messi,WC Qualification South America,2016/2018,Argentina,900,10,7,2,0.9,0.2,0.7,0,0,0,3,2,1,5,2018,True
Lionel Messi,International Friendlies,2018/2018,Argentina,90,1,3,1,4.0,1.0,3.0,0,0,0,5,5,1,5,2018,True
Lionel Messi,Copa del Rey,2017/2018,FC Barcelona,509,6,4,4,1.41,0.71,0.71,1,0,509,3,5,1,3,2018,True
Lionel Messi,La Liga,2017/2018,FC Barcelona,2996,36,34,12,1.38,0.36,1.02,3,0,999,5,3,1,5,2018,True
Lionel Messi,Supercopa de Espana,2017/2018,FC Barcelona,180,2,1,0,0.5,0.0,0.5,1,0,180,5,5,1,5,2018,True
Lionel Messi,UEFA Champions League,2017/2018,FC Barcelona,783,10,6,2,0.92,0.23,0.69,2,0,392,1,1,1,5,2018,False
Lionel Messi,International Champions Cup,2017/2017,FC Barcelona,155,3,1,1,1.16,0.58,0.58,0,0,0,5,5,1,2,2017,False
Lionel Messi,La Liga,2016/2017,FC Barcelona,2832,34,37,9,1.46,0.29,1.18,6,0,472,5,2,1,5,2017,True
Lionel Messi,UEFA Champions League,2016/2017,FC Barcelona,810,9,11,2,1.44,0.22,1.22,0,0,0,3,1,1,5,2017,True
Lionel Messi,International Friendlies,2017/2017,Argentina,180,2,0,0,0.0,0.0,0.0,0,0,0,5,5,1,1,2017,False
Lionel Messi,Copa del Rey,2016/2017,FC Barcelona,630,7,5,3,1.14,0.43,0.71,3,0,210,2,3,1,5,2017,True
Lionel Messi,Supercopa de Espana,2016/2017,FC Barcelona,180,2,1,2,1.5,1.0,0.5,0,0,0,5,5,1,3,2017,False
Lionel Messi,International Friendlies,2016/2016,Argentina,64,1,0,0,0.0,0.0,0.0,0,0,0,5,5,1,2,2016,False
Lionel Messi,La Liga,2015/2016,FC Barcelona,2729,33,26,16,1.39,0.53,0.86,3,0,910,2,4,1,3,2016,True
Lionel Messi,International Champions Cup,2016/2016,FC Barcelona,183,3,0,1,0.49,0.49,0.0,0,0,0,5,5,1,1,2016,False
Lionel Messi,UEFA Champions League,2015/2016,FC Barcelona,630,7,6,1,1.0,0.14,0.86,1,0,630,2,1,1,3,2016,True
Lionel Messi,Copa del Rey,2015/2016,FC Barcelona,450,5,5,3,1.6,0.6,1.0,1,0,450,3,4,1,3,2016,False
Lionel Messi,Supercopa de Espana,2015/2016,FC Barcelona,180,2,1,0,0.5,0.0,0.5,0,0,0,5,5,1,5,2016,False
Lionel Messi,UEFA Super Cup,2015/2016,FC Barcelona,90,1,2,0,2.0,0.0,2.0,0,0,0,5,5,1,5,2016,False
Lionel Messi,International Friendlies,2015/2015,Argentina,115,2,3,0,2.35,0.0,2.35,0,0,0,5,5,1,3,2015,False
Lionel Messi,Copa del Rey,2014/2015,FC Barcelona,540,6,5,2,1.17,0.33,0.83,1,0,540,2,4,1,3,2015,True
Lionel Messi,UEFA Champions League,2014/2015,FC Barcelona,1146,13,10,5,1.18,0.39,0.79,1,0,1146,2,2,1,5,2015,True
Lionel Messi,La Liga,2014/2015,FC Barcelona,3374,38,43,18,1.63,0.48,1.15,4,0,844,3,3,1,5,2015,True
Lionel Messi,UEFA Champions League,2013/2014,FC Barcelona,630,7,8,0,1.14,0.0,1.14,0,0,0,2,1,1,5,2014,True
Lionel Messi,FIFA World Cup 2014 Brazil,2014/2014,Argentina,603,7,4,1,0.75,0.15,0.6,0,0,0,2,2,1,5,2014,False
Lionel Messi,La Liga,2013/2014,FC Barcelona,2502,31,28,11,1.4,0.4,1.01,2,0,1251,3,3,1,5,2014,True
