Team,Year,Competitive_Apps,Competitive_Goals,Friendly_Apps,Friendly_Goals,Total_Apps,Total_Goals
Argentina U20,2004,,,2.0,3.0,2,3
Argentina U20,2005,16.0,11.0,,,16,11
Argentina U23,2008,5.0,2.0,,,5,2
Argentina,2005,3.0,0.0,2.0,0.0,5,0
Argentina,2006,3.0,1.0,4.0,1.0,7,2
Argentina,2007,10.0,4.0,4.0,2.0,14,6
Argentina,2008,6.0,1.0,2.0,1.0,8,2
Argentina,2009,8.0,1.0,2.0,2.0,10,3
Argentina,2010,5.0,0.0,5.0,2.0,10,2
Argentina,2011,8.0,2.0,5.0,2.0,13,4
Argentina,2012,5.0,5.0,4.0,7.0,9,12
Argentina,2013,5.0,3.0,2.0,3.0,7,6
Argentina,2014,7.0,4.0,7.0,4.0,14,8
Argentina,2015,6.0,1.0,2.0,3.0,8,4
Argentina,2016,10.0,8.0,1.0,0.0,11,8
Argentina,2017,5.0,4.0,2.0,0.0,7,4
Argentina,2018,4.0,1.0,1.0,3.0,5,4
Argentina,2019,6.0,1.0,4.0,4.0,10,5
Argentina,2020,4.0,1.0,,,4,1
Argentina,2021,16.0,9.0,,,16,9
Argentina,2022,10.0,8.0,4.0,10.0,14,18
Argentina,2023,5.0,3.0,3.0,5.0,8,8
Argentina,2024,9.0,4.0,2.0,2.0,11,6
Argentina,2025,3.0,2.0,1.0,0.0,4,2
Career total,Career total,159.0,74.0,59.0,54.0,218,130
