Club,Season,League,League,League,National cup[a],National cup[a],Continental[b],Continental[b],Other,Other,Total,Total
Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
Barcelona C,2003–04[420],Tercera División,10,5,—,—,—,—,—,—,10,5
Barcelona B,2003–04[421],Segunda División B,5,0,—,—,—,—,—,—,5,0
Barcelona B,2004–05[422],Segunda División B,17,6,—,—,—,—,—,—,17,6
Barcelona B,Total,Total,22,6,0,0,0,0,0,0,22,6
Barcelona,2004–05[422],La Liga,7,1,1,0,1,0,—,—,9,1
Barcelona,2005–06[423],La Liga,17,6,2,1,6,1,0,0,25,8
Barcelona,2006–07[424],La Liga,26,14,2,2,5,1,3[c],0,36,17
Barcelona,2007–08[425],La Liga,28,10,3,0,9,6,—,—,40,16
Barcelona,2008–09[426],La Liga,31,23,8,6,12,9,—,—,51,38
Barcelona,2009–10[427],La Liga,35,34,3,1,11,8,4[d],4,53,47
Barcelona,2010–11[428],La Liga,33,31,7,7,13,12,2[e],3,55,53
Barcelona,2011–12[429],La Liga,37,50,7,3,11,14,5[f],6,60,73
Barcelona,2012–13[430],La Liga,32,46,5,4,11,8,2[e],2,50,60
Barcelona,2013–14[431],La Liga,31,28,6,5,7,8,2[e],0,46,41
Barcelona,2014–15[432],La Liga,38,43,6,5,13,10,—,—,57,58
Barcelona,2015–16[433],La Liga,33,26,5,5,7,6,4[g],4,49,41
Barcelona,2016–17[434],La Liga,34,37,7,5,9,11,2[e],1,52,54
Barcelona,2017–18[435],La Liga,36,34,6,4,10,6,2[e],1,54,45
Barcelona,2018–19[436],La Liga,34,36,5,3,10,12,1[e],0,50,51
Barcelona,2019–20[437],La Liga,33,25,2,2,8,3,1[e],1,44,31
Barcelona,2020–21[438],La Liga,35,30,5,3,6,5,1[e],0,47,38
Barcelona,Total,Total,520,474,80,56,149,120,29,22,778,672
Paris Saint-Germain,2021–22[439],Ligue 1,26,6,1,0,7,5,—,—,34,11
Paris Saint-Germain,2022–23[440],Ligue 1,32,16,1,0,7,4,1[h],1,41,21
Paris Saint-Germain,Total,Total,58,22,2,0,14,9,1,1,75,32
Inter Miami,2023,MLS,6,1,1,0,—,—,7[i],10,14,11
Inter Miami,2024,MLS,19,20,—,—,3[j],2,3[k],1,25,23
Inter Miami,2025,MLS,28,29,—,—,7[j],5,9,5,44,39
Inter Miami,Total,Total,53,50,1,0,10,7,18,14,83,73
Career total,Career total,Career total,663,557,83,56,173,136,49,39,968,788

