Team,Year,Competitive,Competitive,Friendly,Friendly,Total,Total
Team,Year,Apps,Goals,Apps,Goals,Apps,Goals
Argentina U20[193][442],2004,—,—,2,3,2,3
Argentina U20[193][442],2005,16[a],11,—,—,16,11
Argentina U20[193][442],Total,16,11,2,3,18,14
Argentina U23[443][444],2008,5[b],2,—,—,5[α],2
Argentina U23[443][444],Total,5,2,0,0,5,2
Argentina[448][449],2005,3[c],0,2,0,5,0
Argentina[448][449],2006,3[d],1,4,1,7,2
Argentina[448][449],2007,10[e],4,4,2,14,6
Argentina[448][449],2008,6[f],1,2,1,8,2
Argentina[448][449],2009,8[f],1,2,2,10,3
Argentina[448][449],2010,5[g],0,5,2,10,2
Argentina[448][449],2011,8[h],2,5,2,13,4
Argentina[448][449],2012,5[i],5,4,7,9,12
Argentina[448][449],2013,5[i],3,2,3,7,6
Argentina[448][449],2014,7[j],4,7,4,14,8
Argentina[448][449],2015,6[k],1,2,3,8,4
Argentina[448][449],2016,10[l],8,1,0,11,8
Argentina[448][449],2017,5[m],4,2,0,7,4
Argentina[448][449],2018,4[n],1,1,3,5,4
Argentina[448][449],2019,6[o],1,4,4,10,5
Argentina[448][449],2020,4[p],1,—,—,4,1
Argentina[448][449],2021,16[q],9,—,—,16,9
Argentina[448][449],2022,10[r],8,4,10,14,18
Argentina[448][449],2023,5[s],3,3,5,8,8
Argentina[448][449],2024,9[t],4,2,2,11,6
Argentina[448][449],2025,3[s],2,1,0,4,2
Argentina[448][449],Total,138,63,57,51,195,114
Career total,Career total,159,74,59,54,218,130
